time, Ex_field_energy, Ex_max_norm
1.1050000000000022e+01 1.0131369141800411e-01 1.3846010023123983e-02
1.1100000000000023e+01 1.1020506254194319e-01 1.4273607283829197e-02
1.1150000000000023e+01 1.1821390884170080e-01 1.4634892040290936e-02
1.1200000000000024e+01 1.2518278621421561e-01 1.5032448335490729e-02
1.1250000000000025e+01 1.3098091501718515e-01 1.5536682931876796e-02
1.1300000000000026e+01 1.3549395307354037e-01 1.5784165307454009e-02
1.1350000000000026e+01 1.3865347951301613e-01 1.5630277119388698e-02
1.1400000000000027e+01 1.4044784675779245e-01 1.5585427893295626e-02
1.1450000000000028e+01 1.4085245657009773e-01 1.5470554774743097e-02
1.1500000000000028e+01 1.3988353335128809e-01 1.5650031529831167e-02
1.1550000000000029e+01 1.3758005190702366e-01 1.5579078907686528e-02
1.1600000000000030e+01 1.3398124407435458e-01 1.5265595471868836e-02
1.1650000000000031e+01 1.2920636886179332e-01 1.5024504044827840e-02
1.1700000000000031e+01 1.2337833777562698e-01 1.4797691789461000e-02
1.1750000000000032e+01 1.1659716133965652e-01 1.4747239994405066e-02
1.1800000000000033e+01 1.0900443846478289e-01 1.4669733985322793e-02
1.1850000000000033e+01 1.0076633762739920e-01 1.4172248625445416e-02
1.1900000000000034e+01 9.2053042310077257e-02 1.3643318342695160e-02
1.1950000000000035e+01 8.3030068051351394e-02 1.2958217475919385e-02
1.2000000000000036e+01 7.3854076438819027e-02 1.2289642974617944e-02
1.2050000000000036e+01 6.4708201454219558e-02 1.1621411362743944e-02
1.2100000000000037e+01 5.5758489937138674e-02 1.1312226130387031e-02
1.2150000000000038e+01 4.7147794023267187e-02 1.0886248609641882e-02
1.2200000000000038e+01 3.9010079200519354e-02 1.0263159226256003e-02
1.2250000000000039e+01 3.1477975192295858e-02 9.7413099278979686e-03
1.2300000000000040e+01 2.4656946404497299e-02 9.0862312345738796e-03
1.2350000000000041e+01 1.8645456170263020e-02 8.1647644871626016e-03
1.2400000000000041e+01 1.3523415067850231e-02 7.0493024822995609e-03
1.2450000000000042e+01 9.3375152389391404e-03 6.4015906752951440e-03
1.2500000000000043e+01 6.1353795948198529e-03 5.9992774474256537e-03
1.2550000000000043e+01 3.9327666871167895e-03 5.1175394303750767e-03
1.2600000000000044e+01 2.7323519607771944e-03 4.6423871960926573e-03
1.2650000000000045e+01 2.4970806113715888e-03 4.5143830979769333e-03
1.2700000000000045e+01 3.1880953131438652e-03 4.8363216497341885e-03
1.2750000000000046e+01 4.7476774933037586e-03 5.3873750990980950e-03
1.2800000000000047e+01 7.1028243830685966e-03 5.9495141188486110e-03
1.2850000000000048e+01 1.0159647526333590e-02 6.3988123980574700e-03
1.2900000000000048e+01 1.3823635371859841e-02 6.9698985848378105e-03
1.2950000000000049e+01 1.7992808943869960e-02 7.6810825324535861e-03
1.3000000000000050e+01 2.2562991397568451e-02 8.4358888507916670e-03
1.3050000000000050e+01 2.7396485022153451e-02 8.9794221642690124e-03
